-3.2660 0.0000
-2.4495 0.0079
-1.6330 0.0367
-0.8165 0.0882
0.0000 0.1277
0.8165 0.3822
1.6330 0.3963
2.4495 0.4060
3.2660 0.4111

-3.2660 0.0000
-2.4495 -0.0041
-1.6330 -0.0134
-0.8165 -0.0495
0.0000 -0.1287
0.8165 -0.4184
1.6330 -0.3965
2.4495 -0.3941
3.2660 -0.3965
4.0825 -0.3990

-4.0825 0.0000
-3.2660 -0.0026
-2.4495 -0.0068
-1.6330 -0.0165
-0.8165 -0.0561
0.0000 -0.1348
0.8165 -0.4196
1.6330 -0.3987
2.4495 -0.3973
3.2660 -0.4000
4.0825 -0.4026

-4.0825 0.0000
-3.2660 0.0021
-2.4495 0.0057
-1.6330 0.0143
-0.8165 0.0459
0.0000 0.0982
0.8165 0.1352
1.6330 0.3876
2.4495 0.4015
3.2660 0.4107
4.0825 0.4155

-4.0825 0.0000
-3.2660 0.0025
-2.4495 0.0055
-1.6330 0.0083
-0.8165 0.0063
0.0000 -0.0139
0.8165 0.2776
1.6330 0.3582
2.4495 0.3972
3.2660 0.4073
4.0825 0.4120

-4.0825 0.0000
-3.2660 -0.0014
-2.4495 -0.0038
-1.6330 -0.0085
-0.8165 -0.0181
0.0000 -0.0329
0.8165 -0.2782
1.6330 -0.3156
2.4495 -0.3673
3.2660 -0.3971
4.0825 -0.4048

-3.2660 0.0000
-2.4495 0.0079
-1.6330 0.0367
-0.8165 0.0882
0.0000 0.1277
0.8165 0.3822
1.6330 0.3963
2.4495 0.4060
3.2660 0.4111

-3.2660 0.0000
-2.4495 -0.0041
-1.6330 -0.0134
-0.8165 -0.0495
0.0000 -0.1287
0.8165 -0.4184
1.6330 -0.3965
2.4495 -0.3941
3.2660 -0.3965
4.0825 -0.3990

-4.0825 0.0000
-3.2660 -0.0026
-2.4495 -0.0068
-1.6330 -0.0165
-0.8165 -0.0561
0.0000 -0.1348
0.8165 -0.4196
1.6330 -0.3987
2.4495 -0.3973
3.2660 -0.4000
4.0825 -0.4026

-4.0825 0.0000
-3.2660 0.0021
-2.4495 0.0057
-1.6330 0.0143
-0.8165 0.0459
0.0000 0.0982
0.8165 0.1352
1.6330 0.3876
2.4495 0.4015
3.2660 0.4107
4.0825 0.4155

-4.0825 0.0000
-3.2660 0.0025
-2.4495 0.0055
-1.6330 0.0083
-0.8165 0.0063
0.0000 -0.0139
0.8165 0.2776
1.6330 0.3582
2.4495 0.3972
3.2660 0.4073
4.0825 0.4120

-4.0825 0.0000
-3.2660 -0.0014
-2.4495 -0.0038
-1.6330 -0.0085
-0.8165 -0.0181
0.0000 -0.0329
0.8165 -0.2782
1.6330 -0.3156
2.4495 -0.3673
3.2660 -0.3971
4.0825 -0.4048

-3.2660 0.0000
-2.4495 0.0079
-1.6330 0.0367
-0.8165 0.0882
0.0000 0.1277
0.8165 0.3822
1.6330 0.3963
2.4495 0.4060
3.2660 0.4111

-3.2660 0.0000
-2.4495 -0.0041
-1.6330 -0.0134
-0.8165 -0.0495
0.0000 -0.1287
0.8165 -0.4184
1.6330 -0.3965
2.4495 -0.3941
3.2660 -0.3965
4.0825 -0.3990

-4.0825 0.0000
-3.2660 0.0025
-2.4495 0.0055
-1.6330 0.0083
-0.8165 0.0063
0.0000 -0.0139
0.8165 0.2776
1.6330 0.3582
2.4495 0.3972
3.2660 0.4073
4.0825 0.4120

-4.0825 0.0000
-3.2660 -0.0014
-2.4495 -0.0038
-1.6330 -0.0085
-0.8165 -0.0181
0.0000 -0.0329
0.8165 -0.2782
1.6330 -0.3156
2.4495 -0.3673
3.2660 -0.3971
4.0825 -0.4048

-3.2660 0.0000
-2.4495 0.0026
-1.6330 0.0054
-0.8165 0.0039
0.0000 -0.0170
0.8165 0.2678
1.6330 0.3465
2.4495 0.3861
3.2660 0.3958
4.0825 0.4001
4.8990 0.4026

-3.2660 0.0000
-2.4495 -0.0048
-1.6330 -0.0141
-0.8165 -0.0279
0.0000 -0.2803
0.8165 -0.3173
1.6330 -0.3696
2.4495 -0.4012
3.2660 -0.4098
4.0825 -0.4134
4.8990 -0.4155

